=========================================================================================
Classifier                   Recall        F1  Accuracy    Class recall (negative,neutral,positive)
-----------------------------------------------------------------------------------------
SVC linear, balanced           0.54      0.55      0.59    0.40, 0.51, 0.72              
LinearSVC balanced             0.54      0.54      0.59    0.37, 0.51, 0.73              
LinearSVC                      0.53      0.54      0.59    0.36, 0.51, 0.73              
RndForest 30:15                0.51      0.50      0.53    0.44, 0.48, 0.60              
RndForest 40:15                0.50      0.51      0.55    0.38, 0.47, 0.67              
RndForest 30:20                0.50      0.49      0.52    0.43, 0.49, 0.58              
RndForest 30:10                0.49      0.49      0.53    0.39, 0.48, 0.62              
RndForest 40:10                0.49      0.49      0.53    0.36, 0.48, 0.63              
RndForest 80:20                0.49      0.49      0.55    0.29, 0.49, 0.68              
RndForest 50:15                0.49      0.49      0.55    0.31, 0.47, 0.68              
RndForest 70:5                 0.49      0.49      0.56    0.26, 0.47, 0.73              
RndForest 50:20                0.48      0.49      0.53    0.35, 0.44, 0.66              
RndForest 80:15                0.48      0.49      0.56    0.26, 0.49, 0.70              
RndForest 60:15                0.48      0.49      0.54    0.31, 0.45, 0.69              
RndForest 50:10                0.48      0.48      0.54    0.32, 0.41, 0.71              
RndForest 80:5                 0.48      0.49      0.55    0.27, 0.47, 0.71              
RndForest 30:5                 0.48      0.48      0.52    0.38, 0.44, 0.63              
RndForest 70:10                0.48      0.49      0.55    0.29, 0.45, 0.71              
RndForest 70:20                0.48      0.49      0.54    0.30, 0.49, 0.66              
RndForest 50:5                 0.48      0.49      0.54    0.31, 0.47, 0.67              
RndForest 60:5                 0.48      0.48      0.54    0.31, 0.44, 0.69              
RndForest 40:20                0.48      0.48      0.54    0.29, 0.47, 0.67              
RndForest 40:5                 0.47      0.47      0.52    0.34, 0.43, 0.65              
RndForest 70:15                0.47      0.48      0.54    0.26, 0.49, 0.67              
RndForest 60:20                0.47      0.47      0.53    0.26, 0.45, 0.68              
RndForest 80:10                0.46      0.47      0.53    0.26, 0.45, 0.69              
RndForest 60:10                0.46      0.46      0.52    0.26, 0.44, 0.68              
=========================================================================================
